區域,機關/單位,服務時間及員額,服務內容,聯絡方式與窗口,備註,新增日期
將軍區,長榮里辦公處,"每週六、日 (寒暑假周一至周日) 08:00-12:00, 13:00-17:00 每日15人",1.巧佈點植栽維護 2.活動中心(含廁所)打掃,聯絡人:謝杉里長 電話:0910885628,公家機關,
中西區,臺南市開山歡喜協會,週六假日: 上午9:00至12:00 下午2:00-5:00 每日各15人,1.文書處理 2.環境打掃 3.關懷活動協助,聯絡人:陳韻嫻 電話:06-2130240,人民團體,
北區,台南市許至椿愛心協會,"寒暑假週一至週五: 上午8:00至12:00, 下午1:30-5:30 每日各5人 例假日: 上午9:00至12:00, 下午2:00-6:00 每日各3人",1.環境清掃 2.協會活動協助 3.協會社區服務 4.資料整理,聯絡人:陳碧華 電話:06-2832530,人民團體 113.12.12確認暫時僅提供寒暑 假時間,
中西區,臺南市政府文化局/鄭成功文物館,"1.寒暑假週一至週日: 上午9:00-12:00, 下午1:30-5:00 每日各4人 2.平時週六日 上午9:00-12:00, 下午1:30-5:00 每日各4人",1.展覽服務諮詢及秩序維護 2.展覽活動協助 3.展場空間清潔維護,聯絡人:曾稚淵 電話:06-2136207,公家機關,2020/10/29
北區,長興里辦公處,"1.寒暑假週一至週日: 上午8:00-12:00,下午1:30-5:30 每日各20人 2.平時週六日 上午9:00-12:00,下午2:00-6:00 每日各20人",1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料文書處理,聯絡人:李茂德里長 電話:0933-277-296,公家機關,2020/10/29
北區,福德里辦公處,"1.寒暑假週一至週日: 上午7:30-10:00, 下午1:30-5:30 每日各20人 2.平時週六日 上午7:30-10:00, 下午2:00-6:00 每日各15人",1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料文書處理,聯絡人:林勝緞 電話:0938-756-785,公家機關,2020/10/29
永康區,社團法人台南市愛家協會,1.服務時間以學生課餘時間為主 (例假日或周間晚上)。 2.員額視實際需求而定。,1.文書事務處理。 2.環境整理。 3.協助弱勢活動之辦理。 4.陪伴參與活動之弱勢族群。 5.參與活動餐點、物品製作。,聯絡人:林妙玲 電話:0953699760,,
永康區,財團法人奔放文化藝術基金會,1、服務時間:例假日與寒暑假 上午8:30-12:00、 下午1:30-4:30、 晚上6:00-9:00。 2、員額:10名,1.活動協助 2.場地維護 3.文書處理,聯絡人:顏鈺婷 電話:06-2335311#5130,113.12.16確認即日起暫不提供服務學習,
安平區,財團法人蔡介雄文教基金會,1.寒暑假週一至週日: 上午9:00-12:00、 下午2:00-5:00 2.週六日 上午9:00-12:00、 下午2:00-5:00 3.服務人數:6人,"1.非營利性質的服務學習,幫助學 童在每週六、週日進行唱歌.跳舞 及才藝品格營 2.陪同訪視弱勢及關懷長者 3.協助文書作業 4.協助社區整理環境及物品 備註:以上活動皆有文教基金會人 員陪同照看",聯絡人:莊玉鑾 小姐 手機:0928-429-160 電話:06-2631489,,2020/1/21
將軍區,西甲里辦公處,"例假日、寒暑假課餘時間: 早上8-12時,下午13-17時",1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作,聯絡人:戴大川里長 電話:0928702110,公家機關,
